 Col.OCC  Col.CUM_SUM_DOCS Col.COVERAGE  Col.CUM_SUM_ITEMS
    1106              1106      96.26 %                  1
    1080              1143      99.48 %                  2
    1039              1149     100.00 %                  3
     887              1149     100.00 %                  4
     441              1149     100.00 %                  5
     396              1149     100.00 %                  6
     281              1149     100.00 %                  7
     225              1149     100.00 %                  8
     206              1149     100.00 %                  9
     200              1149     100.00 %                 10
     177              1149     100.00 %                 11
     174              1149     100.00 %                 12
     168              1149     100.00 %                 13
     153              1149     100.00 %                 14
     152              1149     100.00 %                 15
     131              1149     100.00 %                 16
     125              1149     100.00 %                 17
     122              1149     100.00 %                 20
     115              1149     100.00 %                 21
     114              1149     100.00 %                 22
     112              1149     100.00 %                 23
     107              1149     100.00 %                 24
     105              1149     100.00 %                 25
     101              1149     100.00 %                 26
     100              1149     100.00 %                 27
      99              1149     100.00 %                 30
      96              1149     100.00 %                 31
      94              1149     100.00 %                 32
      93              1149     100.00 %                 35
      90              1149     100.00 %                 36
      88              1149     100.00 %                 37
      87              1149     100.00 %                 38
      85              1149     100.00 %                 39
      81              1149     100.00 %                 41
      80              1149     100.00 %                 42
      77              1149     100.00 %                 43
      74              1149     100.00 %                 44
      73              1149     100.00 %                 45
      70              1149     100.00 %                 47
      68              1149     100.00 %                 49
      66              1149     100.00 %                 50
      65              1149     100.00 %                 51
      63              1149     100.00 %                 53
      61              1149     100.00 %                 55
      60              1149     100.00 %                 59
      59              1149     100.00 %                 61
      58              1149     100.00 %                 64
      57              1149     100.00 %                 65
      56              1149     100.00 %                 69
      55              1149     100.00 %                 70
      54              1149     100.00 %                 73
      53              1149     100.00 %                 78
      52              1149     100.00 %                 80
      50              1149     100.00 %                 82
      49              1149     100.00 %                 85
      48              1149     100.00 %                 86
      47              1149     100.00 %                 87
      46              1149     100.00 %                 88
      45              1149     100.00 %                 90
      44              1149     100.00 %                 94
      43              1149     100.00 %                 99
      42              1149     100.00 %                104
      41              1149     100.00 %                107
      40              1149     100.00 %                111
      39              1149     100.00 %                116
      38              1149     100.00 %                122
      37              1149     100.00 %                131
      36              1149     100.00 %                135
      35              1149     100.00 %                142
      34              1149     100.00 %                149
      33              1149     100.00 %                161
      32              1149     100.00 %                167
      31              1149     100.00 %                169
      30              1149     100.00 %                174
      29              1149     100.00 %                179
      28              1149     100.00 %                183
      27              1149     100.00 %                190
      26              1149     100.00 %                198
      25              1149     100.00 %                204
      24              1149     100.00 %                211
      23              1149     100.00 %                217
      22              1149     100.00 %                231
      21              1149     100.00 %                248
      20              1149     100.00 %                267
      19              1149     100.00 %                285
      18              1149     100.00 %                300
      17              1149     100.00 %                324
      16              1149     100.00 %                349
      15              1149     100.00 %                377
      14              1149     100.00 %                411
      13              1149     100.00 %                444
      12              1149     100.00 %                478
      11              1149     100.00 %                523
      10              1149     100.00 %                567
       9              1149     100.00 %                645
       8              1149     100.00 %                732
       7              1149     100.00 %                840
       6              1149     100.00 %               1008
       5              1149     100.00 %               1259
       4              1149     100.00 %               1645
       3              1149     100.00 %               2482
       2              1149     100.00 %               4609
       1              1149     100.00 %              23644
