| ABSTR_RAW                      | ABSTR_TOK                      | ABSTR_UPPER                    | AFFIL                                                                            |           ART_NO | AUTHID                                                                       | AUTHKW_NORM                    | AUTHKW_RAW                     | AUTHKW_TOK                     | AUTH_FIRST            | AUTH_FULL_NAME                 | AUTH_NORM                      | AUTH_RAW                       | AUTH_WITH_AFFIL                                                                  | CAS_REG_NO             | CODEN   | CONCEPT_NORM                   | CONCEPT_RAW                    |   CONF_CODE | CONF_DATE                      | CONF_LOC        | CONF_NAME                      | CORRESPOND_ADDR                | CTRY                          | CTRY_FIRST    | CTRY_ISO3          | CTRY_ISO3_FIRST   | DATABASE   | DESCRIPTOR_NORM                | DESCRIPTOR_RAW                 | DOCTYPE          | DOI                            | EDITOR                         | EID                 | FUND_DET                       |   FUND_SPONS | FUND_TXT                       | GCR_FREE_TEXT                  |   GCR_WOS_FORMAT |   GCS | IDXKW_NORM                     | IDXKW_RAW                      | IDXKW_TOK                      | ISBN                           | ISSN     |   ISSUE | KW_NORM                        | KW_TOK                         | LANG    |   LCR_WOS_FORMAT |   LCS |   MANUFACTURER | NP_ABSTR_RAW                   | NP_RAW                         | NP_SPACY                       | NP_TEXTBLOB                    | NP_TITLE_RAW                   |   N_AUTH |   N_GCR |   N_LCR | OA                             | ORG                                                                             | ORG_FIRST                      |   PG_FIRST | PG_LAST   | PUBLISHER                      |        PUBMED | PUBSTAGE         | REC_ID                                             |   REC_NO | REC_SHORT_NAME             | REGION                 | SCOPUS_LINK                    | SRC                            | SRC_ISO4                       | SUBREGION                      | TITLE_RAW                      | TITLE_TOK                      | TITLE_UPPER                    |   TRADENAME |   VOL | WORD_NORM                      | WORD_RAW                       |   YEAR |
|:-------------------------------|:-------------------------------|:-------------------------------|:---------------------------------------------------------------------------------|-----------------:|:-----------------------------------------------------------------------------|:-------------------------------|:-------------------------------|:-------------------------------|:----------------------|:-------------------------------|:-------------------------------|:-------------------------------|:---------------------------------------------------------------------------------|:-----------------------|:--------|:-------------------------------|:-------------------------------|------------:|:-------------------------------|:----------------|:-------------------------------|:-------------------------------|:------------------------------|:--------------|:-------------------|:------------------|:-----------|:-------------------------------|:-------------------------------|:-----------------|:-------------------------------|:-------------------------------|:--------------------|:-------------------------------|-------------:|:-------------------------------|:-------------------------------|-----------------:|------:|:-------------------------------|:-------------------------------|:-------------------------------|:-------------------------------|:---------|--------:|:-------------------------------|:-------------------------------|:--------|-----------------:|------:|---------------:|:-------------------------------|:-------------------------------|:-------------------------------|:-------------------------------|:-------------------------------|---------:|--------:|--------:|:-------------------------------|:--------------------------------------------------------------------------------|:-------------------------------|-----------:|:----------|:-------------------------------|--------------:|:-----------------|:---------------------------------------------------|---------:|:---------------------------|:-----------------------|:-------------------------------|:-------------------------------|:-------------------------------|:-------------------------------|:-------------------------------|:-------------------------------|:-------------------------------|------------:|------:|:-------------------------------|:-------------------------------|-------:|
| In order to determine the deve | in order to determine the deve | in_order_to_determine the DEVE | School of Transportation Engineering, East China Jiaotong University, Jiangxi, N |    nan           | 56428124700; 57563136900; 57562889300; 59859179200; 57392573000              | demand forecast; highway passe | demand forecast; highway passe | demand forecast; highway passe | Zhang B/3             | Bing Zhang; Dan-Dan Zhou; Xun  | Zhang B/3; Zhou D-D; Zhou X; Z | Zhang B/3; Zhou D-D; Zhou X; Z | Zhang B., School of Transportation Engineering, East China Jiaotong University,  | nan                    | nan     | causal loop diagram; city; civ | causal loop diagram; city; civ |         nan | nan                            | nan             | nan                            | nan                            | China                         | China         | CHN                | CHN               | Scopus     | accuracy; analysis; aviation;  | accuracy; analysis; aviation;  | Article          | 10.19721/j.cnki.1671-8879.2023 | nan                            | 2-s2.0-85161447763  | nan                            |          nan | nan                            | CHEN L L; YI Z J; DI X F., Res |              nan |     2 | nan                            | nan                            | nan                            | nan                            | 16718879 |       2 | demand forecast; highway passe | demand forecast; highway passe | Chinese |              nan |     0 |            nan | development scale; highway; tr | causal loop diagram; city; civ | 2023 editorial department; 32  | causal feedback relationships; | forecast; highway passenger vo |        5 |       0 |       0 | nan                            | EAST CHINA JIAOTONG UNIV; JIANGXI COMPR TRANSP DEV RES CENT; JIANGXI VOCAT TECH | EAST CHINA JIAOTONG UNIV       |        111 | 119       | Chang'an University            | nan           | Final            | Zhang B/3, 2023, CHANG DAXUE XUEBAO, V43, P111, DO |        1 | Zhang B/3 2023             | Asia                   | https://www.scopus.com/pages/p | CHANG'AN DAXUE XUEBAO (ZIRAN K | CHANG DAXUE XUEBAO             | Eastern Asia                   | Forecast of highway passenger  | forecast of highway passenger  | FORECAST of HIGHWAY_PASSENGER_ |         nan |    43 | accuracy; analysis; aviation;  | accuracy; analysis; aviation;  |   2023 |
| This study presents a comprehe | this study presents a comprehe | this_study_presents a COMPREHE | Department of Electrical Engineering and Computer Science, Universidad Autónoma  |    nan           | 57192688490; 55616966800; 57190882674; 57989607900                           | lean managementtools; social s | lean managementtools; social s | lean managementtools; social s | Díaz-Reza JR          | José Roberto Díaz-Reza; Jorge  | Díaz-Reza JR; García-Alcaraz J | Díaz-Reza JR; García-Alcaraz J | Díaz-Reza J.R., Department of Electrical Engineering and Computer Science, Unive | nan                    | nan     | addresses; ambitious goals; ap | addresses; ambitious goals; ap |         nan | nan                            | nan             | nan                            | J.L. García-Alcaraz; Departmen | Mexico                        | Mexico        | MEX                | MEX               | Scopus     | addresses; ambitious; ambitiou | addresses; ambitious; ambitiou | Article          | 10.59038/jjmie/180109          | nan                            | 2-s2.0-85189476140  | nan                            |          nan | nan                            | Diaz-Reza J.R., Interrelations |              nan |    15 | automotive industry; just-in-t | automotive industry; just in t | automotive industry; just-in-t | nan                            | 19956665 |       1 | automotive industry; equation  | automotive industry; equation  | English |              nan |     0 |            nan | comprehensive approach; impact | addresses; ambitious goals; ap | 2024 jordan journal; 411 surve | ambitious goals; automotive se | lean manufacturing; social sus |        4 |       0 |       0 | All Open Access; Bronze Open A | TECNOLÓGICO NAC MÉXICO/IT; UNIV AUTÓNOMA CIUDAD; UNIV AUTÓNOMA CIUDAD JUÁREZ    | UNIV AUTÓNOMA CIUDAD JUÁREZ    |        113 | 130       | Hashemite University           | nan           | Final            | Díaz-Reza JR, 2024, JORDAN J MECH IND ENG, V18, P1 |        2 | Díaz-Reza JR 2024          | Americas               | https://www.scopus.com/pages/p | JORDAN JOURNAL OF MECHANICAL A | JORDAN J MECH IND ENG          | Latin America and The Caribbea | Assessing the impact of Lean m | assessing the impact of lean m | assessing the_impact_of LEAN_M |         nan |    18 | addresses; ambitious; analysis | addresses; ambitious; analysis |   2024 |
| As the new power system gradua | as the new power system gradua | as the new POWER_SYSTEM gradua | Big Data Center of State Grid Corporation of China, Beijing, 100032, China; Scho |    nan           | 57216646698; 58311473900; 57218472011; 59130122700; 58775844000; 36801662300 | carbon label; excitation mecha | carbon label; excitation mecha | carbon label; excitation mecha | Zhou C/1              | Chunlei Zhou; Wensi Liu; Yushu | Zhou C/1; Liu W; Zhang Y/6; Ch | Zhou C/1; Liu W; Zhang Y/6; Ch | Zhou C., Big Data Center of State Grid Corporation of China, Beijing, 100032, Ch | nan                    | nan     | a carbon; atoms; buyers and se | a carbon; atoms; buyers and se |         nan | nan                            | nan             | nan                            | nan                            | China                         | China         | CHN                | CHN               | Scopus     | a carbon; activities; activity | a carbon; activities; activity | Article          | 10.19783/j.cnki.pspc.231423    | nan                            | 2-s2.0-85193252200  | National Office for Philosophy |          nan | ZHOU Chunlei1, LIU Wensi1, ZHA | WANG Rui; CHENG Shan; WANG Yeq |              nan |     3 | atoms; commerce; computer soft | atoms; commerce; computer soft | atoms; commerce; computer soft | nan                            | 16743415 |       9 | atoms; carbon; carbon label; c | atoms; carbon; carbon label; c | Chinese |              nan |     0 |            nan | power system; low carbon; inte | a carbon; buyers and sellers;  | 2024 power system protection a | analysis; comprehensive analys | market equilibrium strategy; s |        6 |       0 |       0 | nan                            | BIG DATA CENT STATE GRID CORP CHINA; SHANGHAI UNIV ELECTR POWER                 | BIG DATA CENT STATE GRID CORP  |         70 | 78        | Power System Protection and Co | nan           | Final            | Zhou C/1, 2024, DIANLI XITONG BAOHU YU KONGZHI, V5 |        3 | Zhou C/1 2024              | Asia                   | https://www.scopus.com/pages/p | DIANLI XITONG BAOHU YU KONGZHI | DIANLI XITONG BAOHU YU KONGZHI | Eastern Asia                   | Market equilibrium strategy of | market equilibrium strategy of | MARKET_EQUILIBRIUM_STRATEGY of |         nan |    52 | activities; activity; analysis | activities; activity; analysis |   2024 |
| The article presents the resul | the article presents the resul | the ARTICLE presents the resul | Department of Economic Cybernetics, Donetsk National Technical University, Artem | 110024           | 57200012019; 57205113664; 35180170800; 57604449100                           | nan                            | nan                            | nan                            | Kolomytseva A         | Anna Kolomytseva; Helen Iskra; | Kolomytseva A; Iskra H; Medved | Kolomytseva A; Iskra H; Medved | Kolomytseva A., Department of Economic Cybernetics, Donetsk National Technical U | nan                    | nan     | article; environment; forecast | article; environment; forecast |      178612 | 17 September 2020 through 23 S | Rhodes          | International Conference on Nu | M. Medvedeva; Ural Federal Uni | Russia; Ukraine               | Ukraine       | RUS; UKR           | UKR               | Scopus     | article; dynamics; environment | article; dynamics; environment | Conference paper | 10.1063/5.0081528              | Simos T.E.; Ulyanovsk State Te | 2-s2.0-85128550981  | nan                            |          nan | nan                            | Kataev A.V., Management of vir |              nan |     0 | nan                            | nan                            | nan                            | 978-073544182-8                | 0094243X |     nan | nan                            | nan                            | English |              nan |     0 |            nan | article; system dynamics; fore | article; environment; forecast | 10 simulation environment; 202 | american institute; dynamics;  | model; forecasting; interactio |        4 |       0 |       0 | nan                            | DONETSK NATL TECH UNIV; URAL FED UNIV                                           | DONETSK NATL TECH UNIV         |        nan | nan       | American Institute of Physics  | nan           | Final            | Kolomytseva A, 2022, AIP CONF PROC, V2425, DOI 10. |        4 | Kolomytseva A 2022         | Europe                 | https://www.scopus.com/pages/p | AIP CONFERENCE PROCEEDINGS     | AIP CONF PROC                  | Eastern Europe                 | Model for Forecasting the Indi | model for forecasting the indi | MODEL for FORECASTING the indi |         nan |  2425 | article; dynamics; environment | article; dynamics; environment |   2022 |
| The objective of this article  | the objective of this article  | the_objective_of_this_article  | Department of Basic Sciences, College of Veterinary Medicine, Mississippi State  |    nan           | 56543785000; 7203057962; 7102848887                                          | broiler house disease manageme | broiler house disease manageme | broiler house disease manageme | Galarneau KD          | Karen D. Galarneau; Randall S. | Galarneau KD; Singer RS; Wills | Galarneau KD; Singer RS; Wills | Galarneau K.D., Department of Basic Sciences, College of Veterinary Medicine, Mi | Anti-Infective Agents, | nan     | animal; animal husbandry; anim | animal; animal husbandry; anim |         nan | nan                            | nan             | nan                            | R.W. Wills; Department of Basi | United States                 | United States | USA                | USA               | Scopus     | agent; agents; aided; animal;  | agent; agents; aided; animal;  | Article          | 10.1016/j.psj.2020.08.011      | nan                            | 2-s2.0-85091205897  | U.S. Department of Agriculture |          nan | Funding text 1: This work was  | Al-sheikhly F.; Al-saieg A., R |              nan |    11 | animal husbandry; animals; ant | animal husbandry; animals; ant | animal husbandry; animals; ant | nan                            | 00325791 |      11 | animal; animal husbandry; anim | animal; animal husbandry; anim | English |              nan |     0 |            nan | nonmodeler reader; poultry sci | antimicrobial use; antimicrobi | antimicrobial use; antimicrobi | antimicrobial use; antimicrobi | system dynamics model; disease |        3 |       0 |       0 | All Open Access; Gold Open Acc | MISS STATE UNIV; UNIV MINN                                                      | MISS STATE UNIV                |       5547 | 5559      | Elsevier Inc.                  |   3.31425e+07 | Final            | Galarneau KD, 2020, POULT SCI, V99, P5547, DOI 10. |        5 | Galarneau KD 2020          | Americas               | https://www.scopus.com/pages/p | POULTRY SCIENCE                | POULT SCI                      | Northern America               | A system dynamics model for di | a system dynamics model for di | a SYSTEM_DYNAMICS_MODEL for DI |         nan |    99 | agent; agents; aided; animal;  | agent; agents; aided; animal;  |   2020 |
| The double externalities of gr | the double externalities of gr | the DOUBLE_EXTERNALITIES of GR | School of Economics and Management, Harbin University of Science and Technology, | 100394           | 55926036900; 57674350200; 57541690600; 57672986400                           | environmental regulation; gree | environmental regulation; gree | environmental regulation; gree | Gao J/2               | Jing Gao; Qiuhong Feng; Tao Gu | Gao J/2; Feng Q; Guan T; Zhang | Gao J/2; Feng Q; Guan T; Zhang | Gao J., School of Economics and Management, Harbin University of Science and Tec | nan                    | nan     | behavior; behavioral logic; co | behavior; behavioral logic; co |         nan | nan                            | nan             | nan                            | T. Guan; School of Economics a | China                         | China         | CHN                | CHN               | Scopus     | analysis; based; behavior; beh | analysis; based; behavior; beh | Article          | 10.1016/j.jik.2023.100394      | nan                            | 2-s2.0-85160517188  | nan                            |          nan | nan                            | Barbieri N.; Marzucchi A.; Riz |              nan |    46 | nan                            | nan                            | nan                            | nan                            | 25307614 |       3 | environmental regulation; gree | environmental regulation; gree | English |              nan |     0 |            nan | double externalities; green te | behavior; behavioral logic; co | analysis; authors; behavior; b | behavioral logic; development  | paths; green technological inn |        4 |       0 |       0 | All Open Access; Gold Open Acc | HARBIN UNIV SCI TECHNOL; SCH ECON MANAG                                         | HARBIN UNIV SCI TECHNOL        |        nan | nan       | Elsevier B.V.                  | nan           | Final            | Gao J/2, 2023, J INNOV KNOWL, V8, DOI 10.1016/j.ji |        6 | Gao J/2 2023               | Asia                   | https://www.scopus.com/pages/p | JOURNAL OF INNOVATION AND KNOW | J INNOV KNOWL                  | Eastern Asia                   | Unlocking paths for transformi | unlocking paths for transformi | unlocking PATHS for transformi |         nan |     8 | analysis; based; behavior; beh | analysis; based; behavior; beh |   2023 |
| This paper aims to design a mo | this paper aims to design a mo | this_paper_aims_to DESIGN a mo | Telkom University, Bandung, Indonesia                                            |      2.15824e+16 | 55845070000; 59946366300; 59946366400                                        | digital marketing; feasibility | digital marketing; feasibility | digital marketing; feasibility | Chumaidiyah E         | Endang Chumaidiyah; Melodiva M | Chumaidiyah E; Madao M; Fauzi  | Chumaidiyah E; Madao M; Fauzi  | Chumaidiyah E., Telkom University, Bandung, Indonesia; Madao M., Telkom Universi | nan                    | nan     | a system dynamic modeling appr | a system dynamic modeling appr |         nan | nan                            | nan             | nan                            | E. Chumaidiyah; Telkom Univers | Indonesia                     | Indonesia     | IDN                | IDN               | Scopus     | a system dynamic modeling appr | a system dynamic modeling appr | Article          | 10.1177/21582440251336516      | nan                            | 2-s2.0-105008214232 | nan                            |          nan | nan                            | Abou-Zeid A.; Bushraa A.; Ezza |              nan |     0 | nan                            | nan                            | nan                            | nan                            | 21582440 |       2 | digital marketing; feasibility | digital marketing; feasibility | English |              nan |     0 |            nan | design; digital marketing inte | a system dynamic modeling appr | 16 alternatives; 77 variables; | dynamics approach; effective d | digital marketing intervention |        3 |       0 |       0 | All Open Access; Gold Open Acc | TELKOM UNIV                                                                     | TELKOM UNIV                    |        nan | nan       | SAGE Publications Inc.         | nan           | Final            | Chumaidiyah E, 2025, SAGE OPEN, V15, DOI 10.1177/2 |        7 | Chumaidiyah E 2025         | Asia                   | https://www.scopus.com/pages/p | SAGE OPEN                      | SAGE OPEN                      | South-Eastern Asia             | Digital Marketing Intervention | digital marketing intervention | DIGITAL_MARKETING_INTERVENTION |         nan |    15 | ability; alternatives; applica | ability; alternatives; applica |   2025 |
| The transition from coal to mo | the transition from coal to mo | the transition from COAL to mo | Department of Chemical Engineering, University of Western Macedonia, Kozani, 501 |   7196           | 57226316716; 6507984183; 6507747243; 21743832000                             | coal transition; development s | coal transition; development s | coal transition; development s | Tranoulidis A         | Apostolos Tranoulidis; Rafaell | Tranoulidis A; Sotiropoulou R- | Tranoulidis A; Sotiropoulou R- | Tranoulidis A., Department of Chemical Engineering, University of Western Macedo | nan                    | nan     | a transition; accuracy; altern | a transition; accuracy; altern |         nan | nan                            | nan             | nan                            | E. Tagaris; Department of Chem | Greece                        | Greece        | GRC                | GRC               | Scopus     | a transition; accuracy; aid; a | a transition; accuracy; aid; a | Article          | 10.3390/su16167196             | nan                            | 2-s2.0-85202621535  | nan                            |          nan | nan                            | Pareek A.; Dom R.; Gupta J.; C |              nan |     1 | greece; western macedonia; alt | greece; western macedonia; alt | greece; western macedonia; alt | nan                            | 20711050 |      16 | alternative energy; climate ch | alternative energy; climate ch | English |              nan |     0 |            nan | coal; sustainable energy sourc | a transition; accuracy; causal | 20_year horizon; a transition; | 20_year horizon; causal relati | coal transition; gdp growth; s |        4 |       0 |       0 | All Open Access; Gold Open Acc | PANTEION UNIV SOC POLIT SCI; UNIV WEST MACED                                    | UNIV WEST MACED                |        nan | nan       | Multidisciplinary Digital Publ | nan           | Final            | Tranoulidis A, 2024, SUSTAIN, V16, DOI 10.3390/su1 |        8 | Tranoulidis A 2024         | Europe                 | https://www.scopus.com/pages/p | SUSTAINABILITY (SWITZERLAND)   | SUSTAIN                        | Southern Europe                | Quantifying the Impact of Coal | quantifying the impact of coal | quantifying the_impact_of COAL |         nan |    16 | accuracy; aid; align; alternat | accuracy; aid; align; alternat |   2024 |
| The prosperity of the technolo | the prosperity of the technolo | the_prosperity_of the TECHNOLO | Department of Technology Management, Faculty of Management and Economics, Scienc |    nan           | 57480181500; 55355272400; 57216154208                                        | causal loops; dynamisms of tec | causal loops; dynamisms of tec | causal loops; dynamisms of tec | Marznaki YS           | Yadollah Sadeghi Marznaki; Abb | Marznaki YS; Khamseh A; Shakib | Marznaki YS; Khamseh A; Shakib | Marznaki Y.S., Department of Technology Management, Faculty of Management and Ec | nan                    | nan     | access; auspices; causal loop  | access; auspices; causal loop  |         nan | nan                            | nan             | nan                            | A. Khamseh; Department of Indu | Iran                          | Iran          | IRN                | IRN               | Scopus     | access; analysis; approach; as | access; analysis; approach; as | Article          | 10.1080/09537325.2022.2037544  | nan                            | 2-s2.0-85125889429  | nan                            |          nan | nan                            | Ashouri H.; Seyed Hosseini S.; |              nan |     1 | computer simulation; industria | computer simulation; industria | computer simulation; industria | nan                            | 09537325 |       3 | causal loops; computer simulat | causal loops; computer simulat | English |              nan |     0 |            nan | technology transfer process; d | access; auspices; causal loop  | access; auspices; causal loop  | causal loop diagrams; causal l | system dynamics approach; tech |        3 |       0 |       0 | nan                            | ISLAM AZAD UNIV                                                                 | ISLAM AZAD UNIV                |        501 | 517       | Routledge                      | nan           | Final            | Marznaki YS, 2024, TECHNOL ANAL STRATEG MANAG, V36 |        9 | Marznaki YS 2024           | Asia                   | https://www.scopus.com/pages/p | TECHNOLOGY ANALYSIS AND STRATE | TECHNOL ANAL STRATEG MANAG     | Southern Asia                  | A system dynamics approach for | a system dynamics approach for | a SYSTEM_DYNAMICS_APPROACH for |         nan |    36 | access; analysis; approach; as | access; analysis; approach; as |   2024 |
