| ABSTR_RAW                      | ABSTR_TOK                      | ABSTR_UPPER                    | AFFIL                                                                            | AR      | ASJC                           | AUTHID                                                                           | AUTHKW_NORM                    | AUTHKW_RAW                     | AUTHKW_TOK                     | AUTH_FIRST       | AUTH_FULL_NAME                 | AUTH_NORM                      | AUTH_RAW                       | AUTH_WITH_AFFIL                                                                  | C3                             |   CA | CL              | CONCEPT_NORM                   | CONCEPT_RAW                    | CORRESPOND_ADDR                | CT                             | CTRY                           | CTRY_FIRST     | CTRY_ISO3          | CTRY_ISO3_FIRST   | CY              | DA         | DATABASE   | DATE       | DESCRIPTOR_NORM                | DESCRIPTOR_RAW                 | DL                             | DOCTYPE                    | DOI                            | EA       | EID                 | EMAIL                          | FP                             | FUND_DET                       | FUND_TXT                       | GA    | GCR_WOS_FORMAT                 |   GCS |   HC |   HO |   HP | IDXKW_NORM                     | IDXKW_RAW                      | IDXKW_TOK                      | ISSN      | ISSNE     | ISSUE   | KW_NORM                        | KW_TOK                         | LANG    | LCR_WOS_FORMAT                 |   LCS | NP_ABSTR_RAW                   | NP_RAW                         | NP_SPACY                       | NP_TEXTBLOB                    | NP_TITLE_RAW                   |   N_AUTH |   N_GCR |   N_LCR | OA                             | ORCID                                                                            | ORG                                                                              | ORG_FIRST                      |   PG_COUNT |   PG_FIRST |   PG_LAST |            PM | PN   | PUBLISHER                      | PUBLISHER_ADDRESS              | PUBLISHER_CITY   | PUBTYPE   | REC_ID                                             |   REC_NO | REC_SHORT_NAME        | REGION                | SI   | SP                    | SRC                            | SRC_ISO4                       | SRC_J9               |   SU | SUBREGION                      | TITLE_RAW                      | TITLE_TOK                      | TITLE_UPPER                    |   VOL | WE                             | WORD_NORM                      | WORD_RAW                       | WOS_SC                         |   WOS_U1 |   WOS_U2 |   WOS_Z9 |   YEAR |
|:-------------------------------|:-------------------------------|:-------------------------------|:---------------------------------------------------------------------------------|:--------|:-------------------------------|:---------------------------------------------------------------------------------|:-------------------------------|:-------------------------------|:-------------------------------|:-----------------|:-------------------------------|:-------------------------------|:-------------------------------|:---------------------------------------------------------------------------------|:-------------------------------|-----:|:----------------|:-------------------------------|:-------------------------------|:-------------------------------|:-------------------------------|:-------------------------------|:---------------|:-------------------|:------------------|:----------------|:-----------|:-----------|:-----------|:-------------------------------|:-------------------------------|:-------------------------------|:---------------------------|:-------------------------------|:---------|:--------------------|:-------------------------------|:-------------------------------|:-------------------------------|:-------------------------------|:------|:-------------------------------|------:|-----:|-----:|-----:|:-------------------------------|:-------------------------------|:-------------------------------|:----------|:----------|:--------|:-------------------------------|:-------------------------------|:--------|:-------------------------------|------:|:-------------------------------|:-------------------------------|:-------------------------------|:-------------------------------|:-------------------------------|---------:|--------:|--------:|:-------------------------------|:---------------------------------------------------------------------------------|:---------------------------------------------------------------------------------|:-------------------------------|-----------:|-----------:|----------:|--------------:|:-----|:-------------------------------|:-------------------------------|:-----------------|:----------|:---------------------------------------------------|---------:|:----------------------|:----------------------|:-----|:----------------------|:-------------------------------|:-------------------------------|:---------------------|-----:|:-------------------------------|:-------------------------------|:-------------------------------|:-------------------------------|------:|:-------------------------------|:-------------------------------|:-------------------------------|:-------------------------------|---------:|---------:|---------:|-------:|
| The majority of recent empiric | the majority of recent empiric | the MAJORITY of RECENT_EMPIRIC | Democritus Univ Thrace, Dept Environm Engn, GR-67100 Xanthi, Greece; Tech Univ C | nan     | Engineering, Civil             | Grigoroudis, Evangelos/D-7716-2013; Tsalis, Thomas A/Y-3240-2018; Tsagarakis, Ko | corporate sustainability; corp | corporate sustainability; corp | corporate sustainability; corp | Tsalis AT        | A. T. Tsalis; E. I. Nikolaou;  | Tsalis AT; Nikolaou EI; Grigor | Tsalis AT; Nikolaou EI; Grigor | [Tsalis, A. T.; Nikolaou, E. I.; Tsagarakis, P. K.] Democritus Univ Thrace, Dept | Democritus University of Thrac |  nan | nan             | complexity; computational exam | complexity; computational exam | Nikolaou, EI (corresponding au | nan                            | Greece                         | Greece         | GRC                | GRC               | nan             | 2026-04-25 | WoS        | OCT 2      | aspects; balance; balanced; ba | aspects; balance; balanced; ba | http://dx.doi.org/10.1080/1028 | Article                    | 10.1080/10286608.2015.1006129  | nan      | WOS:000364559100001 | inikol@env.duth.gr             | nan                            | nan                            | nan                            | CV8SX | Akkermans HA, 2005, J OPER RES |    15 |  nan |  nan |  nan | environmental-management; deve | environmental-management; deve | environmental-management; deve | 1028-6608 | 1029-0249 | 4       | corporate social respon-sibili | corporate social respon-sibili | English | nan                            |     0 | majority; recent empirical res | complexity; computational exam | addition; article; complexity; | article aims; computational ex | dynamic sustainability balance |        4 |      64 |     nan | nan                            | Grigoroudis, Evangelos/0000-0001-8613-9350; Tsalis, Thomas A/0000-0002-9705-4747 | DEMOCRITUS UNIV THRACE; TECH UNIV CRETE                                          | DEMOCRITUS UNIV THRACE         |         20 |        281 |       300 | nan           | nan  | TAYLOR & FRANCIS LTD           | 2-4 PARK SQUARE, MILTON PARK,  | ABINGDON         | J         | Tsalis AT, 2015, CIV ENG ENV SYST, V32, P281, DOI  |        1 | Tsalis AT 2015        | Europe                | nan  | nan                   | CIVIL ENGINEERING AND ENVIRONM | CIV ENG ENV SYST               | CIV ENG ENVIRON SYST |  nan | Southern Europe                | A dynamic sustainability Balan | a dynamic sustainability balan | a DYNAMIC_SUSTAINABILITY_BALAN |    32 | Science Citation Index Expande | aspects; balance; balanced; ba | aspects; balance; balanced; ba | Engineering                    |        0 |       60 |       18 |   2015 |
| Since the end of the 20th cent | since the end of the 20th cent | since_the_end_of the 20th CENT | Dalian Ocean Univ, Coll Marine Sci & Environm, Dalian 116023, Peoples R China; D | nan     | Fisheries                      | Yin, Zengqiang/GPS-7103-2022                                                     | ecological footprint of fisher | ecological footprint of fisher | ecological footprint of fisher | Yang JS          | J. S. Yang; X. W. Pan; Z. Q. Y | Yang JS; Pan XW; Yin ZQ; Cui J | Yang JS; Pan XW; Yin ZQ; Cui J | [Yang, J. S.; Pan, X. W.; Yin, Z. Q.; Cui, J. R.; Sun, P. Q.; Gu, H. F.; Li, J.  | Dalian Ocean University; Dalia |  nan | nan             | average value; basic steps; ca | average value; basic steps; ca | Yin, ZQ (corresponding author) | nan                            | China                          | China          | CHN                | CHN               | nan             | 2026-04-25 | WoS        | nan        | area; average; average value;  | area; average; average value;  | http://dx.doi.org/10.21077/ijf | Article                    | 10.21077/ijf.2023.70.4.135615- | nan      | WOS:001137449100011 | zqyin@dlou.edu.cn              | nan                            | nan                            | nan                            | EF2T8 | Bicknell KB, 1998, ECOL ECON,  |     3 |  nan |  nan |  nan | nan                            | nan                            | nan                            | 0970-6011 | nan       | 4       | ecological footprint of fisher | ecological footprint of fisher | English | nan                            |     0 | century; marine economy; fishe | average value; basic steps; ca | 20th century; average value; b | 20th century; average value; b | ecological footprint study; ma |        9 |      34 |     nan | gold                           | Yin, Zengqiang/0000-0001-5794-6452                                               | DALIAN OCEAN UNIV; [UNKNOWN]                                                     | DALIAN OCEAN UNIV              |         10 |         18 |        27 | nan           | nan  | CENTRAL MARINE FISHERIES RESEA | INDIAN COUNCIL AGRICULTURAL RE | KOCHI            | J         | Yang JS, 2023, INDIAN J FISH, V70, P18, DOI 10.210 |        2 | Yang JS 2023          | Asia                  | nan  | nan                   | INDIAN JOURNAL OF FISHERIES    | INDIAN J FISH                  | INDIAN J FISH        |  nan | Eastern Asia                   | The ecological footprint study | the ecological footprint study | the ECOLOGICAL_FOOTPRINT_STUDY |    70 | Science Citation Index Expande | area; average; basic; capacity | area; average; basic; capacity | Fisheries                      |        2 |       18 |        4 |   2023 |
| Digital Twins (DTs) are virtua | digital twins ( dts ) are virt | DIGITAL_TWINS ( dts ) are VIRT | Policy Dynam Inc, Kitchener, ON, Canada; OP Jindal Global Univ, Sonipat, Haryana | nan     | Computer Science, Interdiscipl | KOUL, SAROJ/HKV-7995-2023; Taylor, Ivan/OKR-8361-2025                            | digital twins; dt; system dyna | digital twins; dt; system dyna | digital twins; dt; system dyna | Taylor IW        | Ivan W. Taylor; Saroj Koul; Fr | Taylor IW; Koul S; Araujo F; C | Taylor IW; Koul S; Araujo F; C | [Taylor, Ivan W.] Policy Dynam Inc, Kitchener, ON, Canada; [Koul, Saroj] OP Jind | O.P. Jindal Global University  |  nan | nan             | a system; application; balance | a system; application; balance | Koul, S (corresponding author) | nan                            | Canada; India; Mexico; United  | Canada         | CAN; IND; MEX; USA | CAN               | nan             | 2026-04-25 | WoS        | 2025 MAY 1 | a system; analysis; applicatio | a system; analysis; applicatio | http://dx.doi.org/10.1080/1747 | Article; early access      | 10.1080/17477778.2025.2492682  | MAY 2025 | WOS:001479172700001 | skoul@jgu.edu.in               | nan                            | nan                            | nan                            | 2CE7F | Anderson AM, 2021, S AFR J IND |     1 |  nan |  nan |  nan | nan                            | nan                            | nan                            | 1747-7778 | 1747-7786 | nan     | digital twins; dt; mealworm fa | digital twins; dt; mealworm fa | English | nan                            |     0 | digital twins; virtual models; | a system; application; balance | application; balanced operatio | cost structures; critical insi | a system; digital twin applica |        4 |      66 |     nan | nan                            | KOUL, SAROJ/0000-0002-3051-5625; Campbell, Brenden/0009-0001-5760-752X; Araujo S | OP JINDAL GLOB UNIV; PLANET BUGS LLC; POLIC DYNAM INC; [UNKNOWN]                 | POLIC DYNAM INC                |         18 |        nan |       nan | nan           | nan  | TAYLOR & FRANCIS LTD           | 2-4 PARK SQUARE, MILTON PARK,  | ABINGDON         | J         | Taylor IW, 2025, J SIMUL, DOI 10.1080/17477778.202 |        3 | Taylor IW 2025        | Americas; Asia        | nan  | nan                   | JOURNAL OF SIMULATION          | J SIMUL                        | J SIMUL              |  nan | Latin America and The Caribbea | A system dynamics-based digita | a system dynamics_based digita | A_SYSTEM dynamics based DIGITA |   nan | Science Citation Index Expande | analysis; application; archite | analysis; application; archite | Computer Science; Operations R |        1 |        2 |        2 |   2025 |
| In order to support the conser | in order to support the conser | in_order_to SUPPORT the CONSER | Vidzeme Univ Appl Sci, Informat Technol, Cesu St 4, LV-4101 Valmiera, Latvia; Un | nan     | Computer Science, Software Eng | Java, Oskars/AAH-4392-2021                                                       | simulation modeling; hydrologi | simulation modelling; hydrolog | simulation modeling; hydrologi | Java O           | Oskars Java; Marko Kohv; Asko  | Java O; Kohv M; Löhmus A       | Java O; Kohv M; Löhmus A       | [Java, Oskars] Vidzeme Univ Appl Sci, Informat Technol, Cesu St 4, LV-4101 Valmi | Vidzeme University of Applied  |  nan | nan             | active raised bogs; bog; bog e | active raised bogs; bog; bog e | Java, O (corresponding author) | nan                            | Estonia; Latvia                | Latvia         | EST; LVA           | LVA               | nan             | 2026-04-25 | WoS        | nan        | active; active raised bogs; ar | active; active raised bogs; ar | http://dx.doi.org/10.22364/bjm | Article                    | 10.22364/bjmc.2020.8.3.01      | nan      | WOS:000576271600001 | oskars.java@va.lv; marko.kohv@ | University of Tartu            | University of Tartu            | This research was made under U | NY3CH | Aber JS, 2010, SMALL-FORMAT AE |     3 |  nan |  nan |  nan | nan                            | nan                            | nan                            | 2255-8942 | 2255-8950 | 3       | bog restoration; hydrological  | bog restoration; hydrological  | English | nan                            |     0 | support; conservation; bog eco | active raised bogs; bog; bog e | active raised bogs; article; b | bog; bog ecosystem; complex ty | hydrological model; decision m |        3 |      14 |     nan | gold                           | Java, Oskars/0000-0002-2189-3798                                                 | UNIV TARTU; VIDZEME UNIV APPL SCI                                                | VIDZEME UNIV APPL SCI          |         12 |        379 |       390 | nan           | nan  | UNIV LATVIA                    | RAINA BULVARIS 19, RIGA, LV-15 | RIGA             | J         | Java O, 2020, BALT J MOD COMPUT, V8, P379, DOI 10. |        4 | Java O 2020           | Europe                | nan  | nan                   | BALTIC JOURNAL OF MODERN COMPU | BALT J MOD COMPUT              | BALT J MOD COMPUT    |  nan | Northern Europe                | Hydrological Model for Decisio | hydrological model for decisio | HYDROLOGICAL_MODEL for DECISIO |     8 | Emerging Sources Citation Inde | active; architect; area; areas | active; architect; area; areas | Computer Science               |        0 |        9 |        3 |   2020 |
| This article was inspired by t | this article was inspired by t | this_article_was inspired by t | Univ Agr, Dept Agr Econ & Org, Inst Econ & Social Sci, PL-31120 Krakow, Poland   | nan     | Environmental Sciences         | Dacko, Mariusz/GRR-1701-2022                                                     | systems dynamics; sustainable  | systems dynamics; sustainable  | systems dynamics; sustainable  | Dacko M          | Mariusz Dacko                  | Dacko M                        | Dacko M                        | Univ Agr, Dept Agr Econ & Org, Inst Econ & Social Sci, PL-31120 Krakow, Poland   | University of Agriculture in K |  nan | nan             | consumption; cyclical growth t | consumption; cyclical growth t | Dacko, M (corresponding author | nan                            | Poland                         | Poland         | POL                | POL               | nan             | 2026-04-25 | WoS        | nan        | benefits; change; consumption; | benefits; change; consumption; | nan                            | Article                    | nan                            | nan      | WOS:000281240500004 | mdacko@ar.krakow.pl            | nan                            | nan                            | nan                            | 642TG | [Anonymous], BEYOND THE LIMITS |     5 |  nan |  nan |  nan | nan                            | nan                            | nan                            | 1230-1485 | nan       | 4       | management of the environment; | management of the environment; | English | nan                            |     0 | predator prey relationship; ec | consumption; cyclical growth t | article; basis; benefits; conc | concept; cyclical growth trend | systems dynamics; modeling sus |        1 |      21 |     nan | nan                            | Dacko, Mariusz/0000-0001-8424-4720                                               | UNIV AGR                                                                         | UNIV AGR                       |          8 |        699 |       706 | nan           | nan  | HARD                           | POST-OFFICE BOX, 10-718 OLSZTY | OLSZTYN 5        | J         | Dacko M, 2010, POL J ENV STUD, V19, P699           |        5 | Dacko M 2010          | Europe                | nan  | nan                   | POLISH JOURNAL OF ENVIRONMENTA | POL J ENV STUD                 | POL J ENVIRON STUD   |  nan | Eastern Europe                 | Systems Dynamics in Modeling S | systems dynamics in modeling s | SYSTEMS_DYNAMICS in MODELING_S |    19 | Science Citation Index Expande | benefits; change; consumption; | benefits; change; consumption; | Environmental Sciences & Ecolo |        1 |       18 |        8 |   2010 |
| This study was performed in a  | this study was performed in a  | this_study_was_performed in a  | Sonora Inst Technol, Ind Engn Dept, Obregon 85000, Sonora, Mexico                | 7938    | Chemistry, Multidisciplinary;  | Lagarda-Leyva, Ernesto A/ADI-6471-2022                                           | system dynamics; value stream  | system dynamics; value stream  | system dynamics; value stream  | Lagarda-Leyva EA | Ernesto A. Lagarda-Leyva       | Lagarda-Leyva EA               | Lagarda-Leyva EA               | [Lagarda-Leyva, Ernesto A.] Sonora Inst Technol, Ind Engn Dept, Obregon 85000, S | nan                            |  nan | nan             | care; causal diagram; ciudad o | care; causal diagram; ciudad o | Lagarda-Leyva, EA (correspondi | nan                            | Mexico                         | Mexico         | MEX                | MEX               | nan             | 2026-04-25 | WoS        | SEP        | approach; architect; attribute | approach; architect; attribute | http://dx.doi.org/10.3390/app1 | Article                    | 10.3390/app11177938            | nan      | WOS:000694137400001 | ernesto.lagarda@itson.edu.mx   | Instituto Tecnologico de Sonor | Instituto Tecnologico de Sonor | The author is grateful to the  | UN6QA | Abdallah AB, 2021, BUS PROCESS |     7 |  nan |  nan |  nan | management                     | management                     | management                     | nan       | 2076-3417 | 17      | logistics; management; scenari | logistics; management; scenari | English | nan                            |     0 | regional product marketing com | care; causal diagram; ciudad o | behavior; causal diagram; ciud | behavior; causal diagram; ciud | system dynamics; lean approach |        1 |      40 |     nan | Green Submitted, gold          | Lagarda-Leyva, Ernesto A/0000-0001-9552-9908                                     | [UNKNOWN]                                                                        | [UNKNOWN]                      |         19 |        nan |       nan | nan           | nan  | MDPI                           | MDPI AG, Grosspeteranlage 5, C | BASEL            | J         | Lagarda-Leyva EA, 2021, APPL SCI-BASEL, V11, DOI 1 |        6 | Lagarda-Leyva EA 2021 | Americas              | nan  | nan                   | APPLIED SCIENCES-BASEL         | APPL SCI-BASEL                 | APPL SCI-BASEL       |  nan | Latin America and The Caribbea | System Dynamics and Lean Appro | system dynamics and lean appro | SYSTEM_DYNAMICS and LEAN_APPRO |    11 | Science Citation Index Expande | approach; architect; attribute | approach; architect; attribute | Chemistry; Engineering; Materi |        2 |       34 |        9 |   2021 |
| In this paper is described the | in this paper is described the | in_this_paper is described the | Univ Prishtina Hasan Prishtina, Fac Nat Sci, Prishtina, Kosovo; Rudjer Boskovic  | nan     | Environmental Sciences         | Bekteshi, Sadik/IUO-9469-2023; Zidansek, Aleksander/AFR-6645-2022                | modeling; electricity demand;  | modeling; electricity demand;  | modeling; electricity demand;  | Bekteshi S       | Sadik Bekteshi; Skender Kabash | Bekteshi S; Kabashi S; Ahmetaj | Bekteshi S; Kabashi S; Ahmetaj | [Bekteshi, Sadik; Kabashi, Skender; Ahmetaj, Skender] Univ Prishtina Hasan Prish | Universiteti i Prishtines; Rud |  nan | nan             | air pollutants; air pollution; | air pollutants; air pollution; | Bekteshi, S (corresponding aut | nan                            | Croatia; Czechia; Kosovo; Slov | Kosovo         | CZE; HRV; KSB; SVN | KSB               | nan             | 2026-04-25 | WoS        | SEP        | air; air pollutants; air pollu | air; air pollutants; air pollu | http://dx.doi.org/10.13044/j.s | Article                    | 10.13044/j.sdewes.2015.03.0023 | nan      | WOS:000436898300007 | sadik.bekteshi@uni-pr.edu; ske | Ministry of Education, Science | Ministry of Education, Science | We would like to acknowledge t | VD5GE | [Anonymous], 2013, ANN EN OUTL |     8 |  nan |  nan |  nan | nan                            | nan                            | nan                            | 1848-9257 | nan       | 3       | electricity demand; electricit | electricity demand; electricit | English | nan                            |     0 | developing; electricity supply | air pollutants; air pollution; | air pollutants; air pollution; | air pollutants; air pollution; | dynamic modeling; kosovo; elec |        7 |      17 |     nan | Green Submitted, gold          | Bekteshi, Sadik/0000-0002-8199-7783; Zidansek, Aleksander/0000-0002-7287-0158    | TECH UNIV; UNIV MARIBOR; UNIV PRISHT HASAN PRISHT; [UNKNOWN]                     | UNIV PRISHT HASAN PRISHT       |         12 |        303 |       314 | nan           | nan  | INT CENTRE SUSTAINABLE DEV ENE | IVANA LUCICA 5, ZAGREB, 10000, | ZAGREB           | J         | Bekteshi S, 2015, J SUSTAIN DEV ENERGY WATER ENV S |        7 | Bekteshi S 2015       | Europe                | nan  | nan                   | JOURNAL OF SUSTAINABLE DEVELOP | J SUSTAIN DEV ENERGY WATER ENV | J SUSTAIN DEV ENERGY |  nan | Eastern Europe; Southern Europ | Dynamic Modeling of Kosovo's E | dynamic modeling of kosovo ' s | DYNAMIC_MODELING of KOSOVO s E |     3 | Emerging Sources Citation Inde | air; available; baseline; busi | air; available; baseline; busi | Environmental Sciences & Ecolo |        0 |        2 |        9 |   2015 |
| Huang, M., Elshorbagy, A., Bar | huang , m . , elshorbagy , a . | HUANG , m . , elshorbagy , a . | Univ Saskatchewan, Dept Civil & Geol Engn, Saskatoon, SK S7N 5A9, Canada; Univ S | nan     | Soil Science                   | Elshorbagy, Amin/A-6274-2015; Si, Bing Cheng/H-8745-2012; Zettl, Julie/JPX-5746- | system dynamics model; infiltr | system dynamics model; infiltr | system dynamics model; infiltr | Huang MB         | Mingbin Huang; Amin Elshorbagy | Huang MB; Elshorbagy A; Barbou | Huang MB; Elshorbagy A; Barbou | [Huang, Mingbin; Elshorbagy, Amin; Barbour, S. Lee; Zettl, Julie D.] Univ Saskat | University of Saskatchewan; Un |  nan | nan             | coarse sand layer; design; des | coarse sand layer; design; des | Elshorbagy, A (corresponding a | nan                            | Canada                         | Canada         | CAN                | CAN               | nan             | 2026-04-25 | WoS        | MAY        | assumptions; based; capacity;  | assumptions; based; capacity;  | http://dx.doi.org/10.4141/CJSS | Article                    | 10.4141/CJSS10009              | nan      | WOS:000291714300006 | amin.elshorbagy@usask.ca       | Cumulative Environmental Manag | Cumulative Environmental Manag | The authors acknowledge fundin | 778OP | Alfnes E, 2004, J CONTAM HYDRO |    24 |  nan |  nan |  nan | particle-size distribution; un | particle-size distribution; un | particle-size distribution; un | 0008-4271 | 1918-1841 | 2       | design; drainage; infiltration | design; drainage; infiltration | English | Elshorbagy A, 2007, HYDROLOG S |     0 | huang; si; system dynamics mod | coarse sand layer; designing r | coarse sand layer; developed s | coarse sand layer; coarse soil | system dynamics modeling; infi |        5 |      34 |       1 | nan                            | Elshorbagy, Amin/0000-0002-5740-8029; Si, Bing Cheng/0000-0002-7497-5033;        | UNIV SASK                                                                        | UNIV SASK                      |         13 |        185 |       197 | nan           | nan  | CANADIAN SCIENCE PUBLISHING    | 65 AURIGA DR, SUITE 203, OTTAW | OTTAWA           | J         | Huang MB, 2011, J SOIL SCI, V91, P185, DOI 10.4141 |        8 | Huang MB 2011         | Americas              | nan  | nan                   | CANADIAN JOURNAL OF SOIL SCIEN | J SOIL SCI                     | CAN J SOIL SCI       |  nan | Northern America               | System dynamics modeling of in | system dynamics modeling of in | SYSTEM_DYNAMICS_MODELING of IN |    91 | Science Citation Index Expande | assumptions; based; capacity;  | assumptions; based; capacity;  | Agriculture                    |        0 |       60 |       32 |   2011 |
| Companies implement lean manuf | companies implement lean manuf | COMPANIES implement LEAN_MANUF | Univ Autonoma Ciudad Juarez, Dept Elect Engn & Comp Sci, Ave Charro 450 Norte, C | 100551  | Environmental Sciences; Operat | ; Díaz-Reza, José Roberto/AAE-4755-2021; Sánchez-Ramírez, Cuauhtémoc/F-9267-2010 | lean manufacturing; strategic  | lean manufacturing; strategic  | lean manufacturing; strategic  | Reza JRD         | Jose Roberto Diaz Reza; Jorge  | Reza JRD; Alcaraz JLG; Ramírez | Reza JRD; Alcaraz JLG; Ramírez | [Reza, Jose Roberto Diaz] Univ Autonoma Ciudad Juarez, Dept Elect Engn & Comp Sc | Universidad Autonoma de Ciudad |  nan | nan             | adequate levels; alignment; ap | adequate levels; alignment; ap | Alvarez, JLR (corresponding au | nan                            | Mexico; Spain                  | Mexico         | ESP; MEX           | MEX               | nan             | 2026-04-25 | WoS        | JUN        | adequate; adequate levels; ali | adequate; adequate levels; ali | http://dx.doi.org/10.1016/j.sf | Article                    | 10.1016/j.sftr.2025.100551     | MAR 2025 | WOS:001453376500001 | inv.pos07@uacj.mx; jorge.garci | Mexican National Council for S | Mexican National Council for S | Funding This study was support | 0QD9W | Abdulmouti H, 2015, 2015 INTER |     4 |  nan |  nan |  nan | kanban system                  | kanban system                  | kanban system                  | 2666-1888 | nan       | nan     | hoshin kanri; kaizen; kanban s | hoshin kanri; kaizen; kanban s | English | nan                            |     0 | companies; lean manufacturing  | adequate levels; alignment; ap | 13 years; 411 responses; adequ | adequate levels; constant chan | strategic goals; continuous im |        6 |      57 |     nan | Green Submitted, gold          | Realyvásquez-Vargas, Arturo/0000-0003-2825-2595; Díaz-Reza, José Roberto/0000-00 | UNIV AUTON CIUDAD JUAREZ; UNIV LA RIOJA; [UNKNOWN]                               | UNIV AUTON CIUDAD JUAREZ       |         13 |        nan |       nan | nan           | nan  | ELSEVIER                       | RADARWEG 29, 1043 NX AMSTERDAM | AMSTERDAM        | J         | Reza JRD, 2025, SUSTAIN FUTUR, V9, DOI 10.1016/j.s |        9 | Reza JRD 2025         | Americas; Europe      | nan  | nan                   | SUSTAINABLE FUTURES            | SUSTAIN FUTUR                  | SUSTAIN FUTURES      |  nan | Latin America and The Caribbea | Achieving strategic goals by c | achieving strategic goals by c | achieving STRATEGIC_GOALS by C |     9 | Emerging Sources Citation Inde | adequate; alignment; approach; | adequate; alignment; approach; | Environmental Sciences & Ecolo |        8 |       11 |        4 |   2025 |
